FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
36075,NY,Oswego,95.07161634,0.7059266721,2.089936041,0.5806287825,0.3808073115,0.01146516637,12.611683,23.11295646,49391,17.4,0,25.2,0,1,0
36077,NY,Otsego,92.73197449,1.538733356,3.085497679,1.060087698,0.1654379287,0.02569909571,16.51327519,18.66075587,47942,16.8,0,19.9,0,0,0
36079,NY,Putnam,82.94955371,2.052953565,11.69491525,1.837328252,0.1213519206,0.01404071808,12.45311403,23.71878447,90497,6,0,6.5,0,1,0
36081,NY,Queens,27.64696811,17.7467654,27.51351356,22.78786868,0.2909371943,0.04904241766,12.82750607,20.7063453,60241,13.9,0,19.6,0,1,0
36083,NY,Rensselaer,85.65254753,6.016471282,3.81360982,2.175890208,0.1775084834,0.01568096143,13.55274135,21.30666315,60117,12,0,18.2,0,1,0
36085,NY,Richmond,64.03878565,9.453843364,17.29161778,7.4023425,0.148272993,0.02922791372,12.66059352,23.29720735,71058,14.2,0,18.3,0,1,0
36087,NY,Rockland,65.34439999,11.10825925,15.65127837,6.12762162,0.1562464909,0.01379589139,13.42404399,28.09870158,84249,14,0,23,0,1,0
36089,NY,St. Lawrence,92.85267634,2.017973272,1.917029944,0.9594082756,0.9388622883,0.02322589866,13.89355392,21.26509683,42811,18.5,0,23.4,0,0,0
36091,NY,Saratoga,92.7324721,1.390210695,2.403839586,1.766792498,0.1479916396,0.01593756119,13.65803458,22.70237288,75029,6.4,0,8.5,0,1,0
36093,NY,Schenectady,77.17399032,8.743141145,5.704886671,3.17785519,0.2876033272,0.05235026854,14.91853393,22.94945291,59432,12,0,18.3,0,1,0
36095,NY,Schoharie,93.8715686,1.203090171,2.821460197,0.6626156524,0.164890531,0.009160585056,15.939418,19.9456472,50588,13.7,0,21.2,0,1,0
36097,NY,Schuyler,96.20018536,0.779588944,1.275690999,0.2780352178,0.2398735212,0.02180668375,16.98740664,21.20699995,49664,12.5,0,19.9,0,0,0
36099,NY,Seneca,90.77472979,4.292076821,2.700632606,0.6751581515,0.2723326998,0.005673597912,15.52296389,21.32989135,49813,14.1,0,21.2,0,0,0
36101,NY,Steuben,94.42974038,1.502171937,1.384988383,1.162743711,0.1949691888,0.01414284271,15.87837155,23.43469037,47352,15.4,0,22.7,0,0,0
36103,NY,Suffolk,71.56580842,6.838115646,16.48903472,3.367931161,0.1945960425,0.01841497305,13.51277329,23.95084876,87634,7.8,0,10.7,0,1,0
